item_cd,market_group,n_obs,p_mean,obs_mean,p_sd,obs_sd,p_skew,obs_skew,p_min,obs_min,p_max,obs_max
257,25,10,0.485,10.053772609574006,0.912,0.28646132303186894,0.928,-0.7920125300283664,0.186,9.615205300012315,0.936,10.295563423525277
258,11,16,0.488,10.332088042421127,0.366,1.289994203842903,0.284,0.2339045219659411,0.12,9.027738775974909,0.841,11.744045122410057
258,21,11,0.477,10.777828511215425,0.34,1.2733423982946517,0.848,-0.5692547206096669,0.437,9.079206103951382,0.87,11.695255355062795
258,22,10,0.471,10.953654610472633,0.345,1.266661634884442,0.951,-0.9089104076710375,0.646,8.81744592104187,0.894,11.736077016252437
258,24,10,0.465,10.94142313169398,0.339,1.2315553372280943,0.949,-0.8965664020598798,0.614,8.922791623969637,0.894,11.703554089007538
258,25,10,0.432,10.933086130059078,0.332,1.2469250679242825,0.945,-0.9068229386637429,0.65,8.839421607620602,0.884,11.703554089007538
279,11,16,0.483,8.706240919700164,0.393,0.948250146639727,0.401,0.16623004440019698,0.181,7.591357046698551,0.811,9.83097062169695
279,21,11,0.453,8.902308523084825,0.425,0.8713273377794288,0.857,-0.5992195555477134,0.492,7.550135342488429,0.833,9.680406499268875
279,22,10,0.472,8.97988459633798,0.474,0.7069927979901615,0.943,-0.8894318585404001,0.576,7.754052639035757,0.846,9.546884034617925
279,24,10,0.458,8.944379290276396,0.492,0.7193102135505118,0.953,-0.9906722657566144,0.654,7.601402334583733,0.907,9.417435838868785
279,25,10,0.471,8.907999439003035,0.441,0.8227395891068919,0.953,-1.000484527190494,0.718,7.313886831633462,0.864,9.568084743872936
280,11,11,0.502,9.083842119825984,0.359,1.156960241145259,0.844,-0.56661136047515,0.46,7.484930283289661,0.852,10.056251557087757
280,21,10,0.504,9.121344375860764,0.362,1.0025224868614788,0.956,-0.9046557078063684,0.667,7.438971592395862,0.907,9.741027444837728
280,24,10,0.486,9.24854713836297,0.345,1.0739291343820536,0.94,-0.9007593733615192,0.661,7.456454555176209,0.89,9.933094897288786
280,25,10,0.472,9.231673140476852,0.344,1.075205462946668,0.945,-0.8934128132352958,0.663,7.415175109613295,0.839,10.043292972227004
312,11,10,0.441,11.257105208114577,0.326,1.3855553524349944,0.973,-1.1399264195516792,0.821,8.387312270561717,0.886,12.083910661257521
315,11,16,0.475,7.537040114319116,0.364,1.4221165737603774,0.314,0.24453537436120967,0.144,6.1092475827643655,0.677,9.44943600950432
315,21,11,0.469,7.939129782547366,0.363,1.2731558049871723,0.852,-0.5869872094084536,0.481,6.1092475827643655,0.875,8.853808274977197
315,22,10,0.499,8.050108215464132,0.316,1.3692696504775312,0.922,-0.8796917366232837,0.617,5.8888779583328805,0.867,8.987321812850125
315,24,10,0.436,8.061001289183418,0.327,1.1934077399602268,0.947,-0.9174918425013353,0.613,6.1092475827643655,0.841,8.899867211223587
315,25,10,0.471,8.015781520831137,0.347,1.2555720801928119,0.928,-0.8285574602285704,0.562,6.1092475827643655,0.798,9.066585468331045
316,11,16,0.505,7.626562910950927,0.347,1.6311796354390606,0.301,0.24596155741975298,0.112,6.052089168924417,0.798,9.510519035757246
316,21,11,0.487,8.166318092976836,0.319,1.5886230701473074,0.846,-0.5978994800496537,0.566,5.7899601708972535,0.89,9.305741456739435
316,22,10,0.442,8.346124230017887,0.317,1.5452933264866928,0.93,-0.8735650558296929,0.551,6.052089168924417,0.884,9.305741456739435
316,24,10,0.458,8.29601135193587,0.341,1.5208416998253529,0.947,-0.8767060441595855,0.559,5.968707559985366,0.893,9.239996256883693
316,25,10,0.442,8.53664697368222,0.322,1.5722034109126637,0.942,-0.8948267896489788,0.61,6.052089168924417,0.848,9.61587214452889
317,11,16,0.485,7.579688286325185,0.353,1.380150799392015,0.302,0.2515912545890273,0.107,6.26530121273771,0.75,9.278092474027002
317,21,11,0.454,8.012273929715862,0.344,1.355244889126498,0.841,-0.5781790913928243,0.434,6.111467339502679,0.859,8.987321812850125
317,22,10,0.47,8.06557028478549,0.313,1.3138283228476828,0.941,-0.937289023419762,0.715,5.739792912179234,0.845,8.987321812850125
317,24,10,0.435,8.225050063127522,0.352,1.417072520751243,0.942,-0.8982886129762219,0.579,5.993961427306569,0.889,9.122710622015209
317,25,10,0.465,8.09619010998384,0.346,1.2894230606310984,0.942,-0.9055568527780273,0.664,5.916202062607435,0.865,8.987321812850125
411,11,16,0.478,10.65569159303054,0.566,0.6107562662682338,0.388,0.14862770195059277,0.111,9.980494888896912,0.89,11.336200219573199
411,21,11,0.44,10.854080408160717,0.524,0.6128983306735613,0.885,-0.6461667417377737,0.429,9.893487720457795,0.882,11.326607934898927
411,22,10,0.433,10.885827386306833,0.679,0.4824549250581367,0.955,-0.970239363736325,0.403,10.085017129129874,0.928,11.184435286790631
411,24,10,0.456,10.918603915046141,0.532,0.611067400198485,0.939,-0.8805737369352495,0.481,9.928228944424575,0.911,11.356283350762888
411,25,10,0.451,10.937084973698637,0.645,0.5063019725610232,0.938,-0.9661890200384387,0.419,10.085017129129874,0.924,11.264476926102367
412,11,16,0.537,10.616488326336507,0.703,0.4454787048081656,0.47,0.045162965445523444,0.15,10.050225108647712,0.923,11.103467395592086
412,21,11,0.479,10.722065287625242,0.668,0.4845765696583599,0.91,-0.7183480258291559,0.41,9.89500164888583,0.909,11.127277689932466
414,11,15,0.477,9.899291833559568,0.982,0.211739474033855,0.114,0.6340407556456276,0.007,9.69898173460629,0.887,10.295563423525277
414,21,11,0.564,9.694679387031346,0.922,0.28571424604494816,0.097,0.6835080385187667,0.201,9.259225769705994,0.797,10.19058195234216
414,22,10,0.568,9.672255789565536,0.917,0.28837709666751415,0.013,1.3701263192253212,0.06,9.441531454869693,0.731,10.227778757855184
414,24,10,0.535,9.782838025143718,0.971,0.23201166441579094,0.012,1.27099019652363,0.047,9.568084743872936,0.793,10.227778757855184
414,25,10,0.583,9.676531104456835,0.886,0.3105826009546934,0.044,1.0011406963540954,0.089,9.392745258631441,0.757,10.227778757855184
415,11,15,0.5,8.937121392168942,0.407,0.9403946626775205,0.387,0.1539998374587899,0.136,7.9966538754626075,0.748,10.110542371500753
415,21,11,0.466,9.1907329685907,0.416,0.8153361775407117,0.869,-0.6918990468942625,0.532,7.8636512654486515,0.848,9.852246888342531
415,22,10,0.459,9.344428928963353,0.436,0.7671132904869299,0.926,-0.8518198918603965,0.468,8.219056661060598,0.864,9.90353755128617
415,24,10,0.446,9.370101365307272,0.418,0.8669598965227633,0.928,-0.8706549918939356,0.509,8.036249942132116,0.857,10.012386799492118
415,25,10,0.485,9.340943910843862,0.445,0.8061767228864254,0.939,-0.8903913447464794,0.588,8.013343181386672,0.893,9.918425424900335
416,11,16,0.479,10.18457911672041,0.558,0.6126947714310291,0.499,0.022943552224004037,0.375,9.210440366976517,0.899,10.831726617926124
416,21,11,0.469,10.433708929079653,0.575,0.5893659195249966,0.928,-0.8202065834862912,0.506,9.392745258631441,0.932,10.839600519357369
416,22,10,0.424,10.486519808519976,0.737,0.4233643719863512,0.959,-1.034854790299165,0.46,9.679155795585109,0.921,10.778977123006351
416,24,10,0.476,10.419788572390049,0.606,0.5503574943250361,0.98,-1.246898506247586,0.647,9.259225769705994,0.935,10.764286715905591
416,25,10,0.454,10.415164694078099,0.57,0.6086836032162571,0.951,-0.9406025360169928,0.538,9.332646496360152,0.919,10.805699643800724
418,11,14,0.49,7.92884359031031,0.323,2.3528065995709793,0.52,-0.0075704596087212426,0.194,5.4638318050256105,0.828,10.214678610538817
418,21,11,0.48,8.436544703637919,0.284,2.1690655629956104,0.841,-0.5711581322001845,0.472,5.521460917862246,0.88,9.99884318585288
418,22,10,0.46,8.721545392408464,0.255,2.177642734511356,0.937,-0.8746146311184663,0.61,5.472270673671475,0.865,10.085850775128717
418,24,10,0.463,8.740947808998673,0.299,2.243433752402116,0.942,-0.8780474017146473,0.604,5.303304908059076,0.878,10.188704088048116
418,25,10,0.46,8.759348235831249,0.26,2.1624956741572627,0.935,-0.8740994563817163,0.609,5.472270673671475,0.874,10.165890277802454
420,11,13,0.476,9.646672638121146,0.486,0.7394695636019798,0.701,-0.26229098046928184,0.345,8.609042845046117,0.902,10.308985993422082
420,21,11,0.472,9.722569854791756,0.531,0.6831894383243154,0.893,-0.7009036396822907,0.5,8.612685172875459,0.92,10.203629181337648
420,22,10,0.468,9.847440856078261,0.461,0.7041960993758012,0.949,-1.001240510961854,0.573,8.64135583403666,0.913,10.275085591132715
420,24,10,0.45,9.89086507598219,0.491,0.7186861877669289,0.947,-0.9831486704282761,0.513,8.698013622083925,0.901,10.328787967145063
420,25,10,0.482,9.79893191370655,0.546,0.6210295449446881,0.947,-0.967059248116319,0.569,8.698013622083925,0.854,10.318935994253193
422,11,16,0.501,9.109681082873001,0.941,0.2632561220217171,0.114,0.5709933967419023,0.022,8.862341963516347,0.734,9.65509029374725
422,21,11,0.577,8.90857804859402,0.9,0.31179476300402814,0.06,0.9398765567029824,0.034,8.699681400989514,0.714,9.497097016351463
422,22,10,0.585,8.962707267333588,0.978,0.22095692825555785,0.018,1.260305318265862,0.018,8.824824939175638,0.819,9.3910773406399
422,24,10,0.562,8.958824264494348,0.931,0.26713728261651165,0.063,0.8749594806832822,0.039,8.77971129020447,0.834,9.3910773406399
422,25,10,0.532,9.000832171718947,0.943,0.2589807832353814,0.054,1.0150536909146213,0.041,8.824824939175638,0.738,9.497097016351463
424,11,14,0.469,10.167923884475808,0.399,1.041926083801209,0.56,-0.08911453783735653,0.323,8.77971129020447,0.851,11.156264806643742
424,21,11,0.497,10.38590699541709,0.373,1.0089114315296899,0.85,-0.5917775066318024,0.52,8.860924729719041,0.909,11.127277689932466
424,24,10,0.47,10.507681224136277,0.428,0.908568904930967,0.936,-0.8900502559686082,0.564,9.036106025364846,0.896,11.121378054821049
424,25,10,0.4,10.536583948317187,0.386,0.9744588816263755,0.962,-0.9222400741517479,0.622,8.853808274977197,0.897,11.156264806643742
425,11,13,0.512,9.989878143466907,0.311,1.7970144116075937,0.626,-0.15858981107395467,0.26,7.993282328101591,0.842,11.608244735642321
425,21,10,0.493,10.448042343651949,0.303,1.7257964154253134,0.949,-0.9161795532867733,0.698,7.496097345175956,0.878,11.51293546492023
425,22,10,0.476,10.517715697253426,0.32,1.6446381972569974,0.939,-0.8782492113194742,0.601,8.006700845440367,0.895,11.571203807011969
425,24,10,0.476,10.537338859086976,0.287,1.6976124195030948,0.936,-0.8849976734790262,0.65,7.844240718141811,0.869,11.635151947212842
425,25,10,0.489,10.579011271059722,0.288,1.6746267396771868,0.935,-0.8763389449188093,0.598,8.058643712215618,0.894,11.635151947212842
428,11,13,0.496,9.72797812891221,0.335,1.2108923660372108,0.659,-0.20079120795520716,0.328,8.205491613120236,0.846,10.86477077032911
